id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
496617,,2026,6,True,Muonio,Lapland,Finland,67.931264,23.811257,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
496616,,2026,6,True,Pudasjärvi,North Ostrobothnia,Finland,65.360582,26.986816,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
496615,,2026,6,True,Oulu,North Ostrobothnia,Finland,64.9621964,25.5195007,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
496614,,2026,6,True,Oulu,North Ostrobothnia,Finland,64.930373,25.377133,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
492114,10,2026,6,True,Kirkkonummi,Uusimaa,Finland,60.15240346155787,24.529720135469237,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
492113,2,2026,6,True,Kirkkonummi,Uusimaa,Finland,60.15364331618912,24.53169088503796,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
492112,2,2026,6,True,Kirkkonummi,Uusimaa,Finland,60.15466730544051,24.52939745485253,DATE_AFTER_REFERENCE_PERIOD,2026-06-30 07:14:05.354549+00:00
482255,,2026,4,True,Brändö,Åland,Finland,60.4318008,21.0499001,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
482046,,2026,4,True,Brändö,Åland,Finland,60.3181,20.9864998,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481879,,2026,4,True,Eckerö,Åland,Finland,60.233399,19.546437,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481876,,2026,4,True,Eckerö,Åland,Finland,60.2327003,19.5398064,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481872,,2026,4,True,Finström,Åland,Finland,60.22993,19.988645,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481730,,2026,4,True,Jomala,Åland,Finland,60.1782495,19.9833051,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481655,,2026,4,True,Jomala,Åland,Finland,60.133988,19.934649,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481652,,2026,4,True,Jomala,Åland,Finland,60.1288376,19.9334698,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481650,,2026,4,True,Maarianhamina,Åland,Finland,60.1217003,19.9326992,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481649,,2026,4,True,Jomala,Åland,Finland,60.1202011,19.8624992,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481643,,2026,4,True,Lumparland,Åland,Finland,60.116188,20.297072,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481641,,2026,4,True,Jomala,Åland,Finland,60.1137009,19.9148998,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481637,,2026,4,True,Maarianhamina,Åland,Finland,60.106112,19.929446,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481636,,2026,4,True,Maarianhamina,Åland,Finland,60.104419,19.942798,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481634,,2026,4,True,Maarianhamina,Åland,Finland,60.09951,19.941055,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481633,,2026,4,True,Maarianhamina,Åland,Finland,60.099144,19.9391422,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481630,,2026,4,True,Maarianhamina,Åland,Finland,60.096777,19.941843,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481627,,2026,4,True,Maarianhamina,Åland,Finland,60.081628,19.940765,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
481581,,2026,4,True,Kökar,Åland,Finland,59.920511,20.907315,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
308553,1,2025,1,True,,,Finland,0.0,0.0,MISSING_MUNICIPALITY_ENRICHMENT; MISSING_REGION_ENRICHMENT; INVALID_COORDINATES,2026-06-30 07:14:05.354549+00:00
307060,8,2024,12,True,Maarianhamina,Åland,Finland,60.10125397168579,19.94048901889198,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
307058,4,2024,12,True,Maarianhamina,Åland,Finland,60.10679591969705,19.942853473820406,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
284250,4,2023,12,,Jomala,Åland,Finland,60.124918,19.907751,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
216660,2,2023,2,,,,Finland,81.736061,4.025088,MISSING_MUNICIPALITY_ENRICHMENT; MISSING_REGION_ENRICHMENT; INVALID_COORDINATES,2026-06-30 07:14:05.354549+00:00
216659,1,2023,2,,,,Finland,78.272269,23.184454,MISSING_MUNICIPALITY_ENRICHMENT; MISSING_REGION_ENRICHMENT; INVALID_COORDINATES,2026-06-30 07:14:05.354549+00:00
215509,2,2023,2,,Jomala,Åland,Finland,60.124375,19.908082,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
215505,1,2023,2,,Jomala,Åland,Finland,60.10906,19.903871,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
214845,2,2023,2,,,,Finland,38.518174,171.632554,MISSING_MUNICIPALITY_ENRICHMENT; MISSING_REGION_ENRICHMENT; INVALID_COORDINATES,2026-06-30 07:14:05.354549+00:00
214841,3,2023,2,,,,Finland,-55.811599,-134.643837,MISSING_MUNICIPALITY_ENRICHMENT; MISSING_REGION_ENRICHMENT; INVALID_COORDINATES,2026-06-30 07:14:05.354549+00:00
169614,1,2020,10,True,Maarianhamina,Åland,Finland,60.11794886228745,19.936059943752863,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169613,1,2020,10,True,Lemland,Åland,Finland,60.07649037316298,20.19967222432388,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169612,1,2020,10,True,Sund,Åland,Finland,60.23136845054748,20.08552288026829,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169611,2,2020,10,True,Sund,Åland,Finland,60.22584091807528,20.06729325069921,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169610,1,2020,10,True,Finström,Åland,Finland,60.23428072078738,19.98479172343866,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169609,2,2020,10,True,Eckerö,Åland,Finland,60.23868556777788,19.541604515726704,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
169608,2,2020,10,True,Vårdö,Åland,Finland,60.26842150017944,20.392664347084747,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
167558,2,2020,9,,Maarianhamina,Åland,Finland,60.10612,19.94419,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
162295,3,2020,8,True,Maarianhamina,Åland,Finland,60.099145,19.944868,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
100796,2,2018,3,True,Geta,Åland,Finland,60.42094,19.915168,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
94928,3,2017,10,,Finström,Åland,Finland,60.23046,19.98895,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
88846,2,2017,6,True,Finström,Åland,Finland,60.24040862365254,19.96357746646538,REGION_NOT_INCLUDED,2026-06-30 07:14:05.354549+00:00
