id,number_of_points,is_operational,country,longitude,latitude,fetch_timestamp,rejection_reason,year,month,municipality,region
308486,40,True,Sweden,15.630968415364292,56.164687768412335,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2025,1,Karlskrona,Blekinge
292946,1,,Sweden,15.907806,59.275935,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Eskilstuna,Södermanland
292834,8,,Sweden,11.820028,57.700959,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Göteborg,Västra Götaland
292814,14,,Sweden,11.8456,57.6612,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Göteborg,Västra Götaland
292813,12,,Sweden,11.84454,57.66052,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Göteborg,Västra Götaland
292752,4,,Sweden,18.71932,57.3416,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Gotland,Gotland
292671,1,,Sweden,16.526479,57.002213,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Mönsterås,Kalmar
292185,24,,Sweden,12.69372,56.04666,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Helsingborg,Skåne
292183,26,,Sweden,12.70052,56.03921,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Helsingborg,Skåne
292182,20,,Sweden,12.695929,56.038671,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2024,2,Helsingborg,Skåne
290318,,True,Sweden,13.871102752115805,62.46807600735144,2026-06-30 07:14:08.695930+00:00,INVALID_NUMBER_OF_POINTS,2024,1,Härjedalen,Jämtland
283952,4,,Sweden,11.557684,57.95072,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,12,Tjörn,Västra Götaland
283946,36,,Sweden,11.59131,57.88635,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,12,Kungälv,Västra Götaland
283853,2,,Sweden,16.331372,56.659177,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,12,Kalmar,Kalmar
283807,4,,Sweden,15.57605,56.16298,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,12,Karlskrona,Blekinge
272104,10,,Sweden,11.22238,58.35198,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Sotenäs,Västra Götaland
272054,14,,Sweden,11.82071,57.699215,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Göteborg,Västra Götaland
272052,6,,Sweden,11.8331,57.69144,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Göteborg,Västra Götaland
271968,14,,Sweden,16.34068,56.66673,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Kalmar,Kalmar
271967,6,,Sweden,16.33335,56.65738,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Kalmar,Kalmar
271888,4,,Sweden,13.00309,55.631318,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,7,Malmö,Skåne
261531,4,,Sweden,14.979265,58.540379,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,5,Motala,Östergötland
261477,5,,Sweden,11.43164,58.26911,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,5,Lysekil,Västra Götaland
261473,8,,Sweden,11.457429,58.249572,2026-06-30 07:14:08.695930+00:00,FAR_FROM_MUNICIPALITY,2023,5,Lysekil,Västra Götaland
