country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Finland,2016,1,Uusimaa,2932,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,2,Uusimaa,2440,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,3,Uusimaa,3279,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,4,Uusimaa,3156,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,5,Uusimaa,3158,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,6,Uusimaa,3421,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,7,Uusimaa,2425,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,8,Uusimaa,2659,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,9,Uusimaa,2770,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,10,Uusimaa,2588,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,11,Uusimaa,2458,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2016,12,Uusimaa,2280,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,1,Uusimaa,3024,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,2,Uusimaa,2310,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,3,Uusimaa,3063,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,4,Uusimaa,2496,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,5,Uusimaa,3212,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,6,Uusimaa,3540,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,7,Uusimaa,2577,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,8,Uusimaa,2730,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,9,Uusimaa,2676,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,10,Uusimaa,2510,petrol,2026-06-30 07:14:11.595424+00:00
Finland,2017,11,Uusimaa,3027,petrol,2026-06-30 07:14:11.595424+00:00
