country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Sweden,2016,1,Stockholm,2059,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,2,Stockholm,2252,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,3,Stockholm,3293,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,4,Stockholm,3283,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,5,Stockholm,3769,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,6,Stockholm,3679,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,7,Stockholm,2420,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,8,Stockholm,2791,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,9,Stockholm,3128,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,10,Stockholm,3001,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,11,Stockholm,3288,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2016,12,Stockholm,3574,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,1,Stockholm,1995,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,2,Stockholm,2519,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,3,Stockholm,3667,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,4,Stockholm,2875,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,5,Stockholm,3669,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,6,Stockholm,4650,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,7,Stockholm,2688,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,8,Stockholm,2966,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,9,Stockholm,3093,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,10,Stockholm,3220,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,11,Stockholm,3474,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2017,12,Stockholm,3671,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,1,Stockholm,2668,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,2,Stockholm,3593,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,3,Stockholm,4434,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,4,Stockholm,4818,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,5,Stockholm,5231,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,6,Stockholm,7641,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,7,Stockholm,2044,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,8,Stockholm,3661,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,9,Stockholm,2661,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,10,Stockholm,2869,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,11,Stockholm,3209,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2018,12,Stockholm,2693,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,1,Stockholm,2418,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,2,Stockholm,3068,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,3,Stockholm,3780,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,4,Stockholm,3695,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,5,Stockholm,4931,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,6,Stockholm,4453,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,7,Stockholm,3337,petrol,2026-06-30 07:14:11.597982+00:00
Sweden,2019,8,Stockholm,3715,petrol,2026-06-30 07:14:11.597982+00:00
